San Jose,5093,3447,109,8649,
Desamparados,2151,909,41,3101,
Alajuela,2134,365,27,2526,
Alajuelita,1697,492,24,2213,
Heredia,1394,362,23,1779,
Goicoechea,740,518,20,1278,
Tibas,668,368,18,1054,
La Union,623,289,10,922,
Curridabat,490,437,10,937,
San Carlos,456,534,4,994,
Santa Ana,395,294,6,695,
Escazu,393,367,14,774,
Aserri,382,212,1,595,
Santo Domingo,351,102,3,456,
Corredores,286,336,5,627,
Cartago,257,194,3,454,
Montes de Oca,220,197,2,419,
Vazquez de Coronado,219,306,8,533,
Pococi,217,225,3,445,
Naranjo,214,119,1,334,
San Rafael,214,206,3,423,
Barva,163,149,3,315,
Limon,160,194,1,355,
San Pablo,154,110,1,265,
Flores,150,49,1,200,
Grecia,146,131,5,282,
Puntarenas,132,225,1,358,
San Isidro,129,74,3,206,
Moravia,128,269,6,403,
Santa Barbara,127,94,0,221,
San Ramon,121,295,5,421,
Guacimo,119,58,2,179,
Acosta,116,85,1,202,
Mora,113,109,6,228,
Belen,113,81,0,194,
Oreamuno,112,97,0,209,
El Guarco,109,20,1,130,
Palmares,85,98,0,183,
Poas,78,95,1,174,
Golfito,78,59,0,137,
Puriscal,76,127,1,204,
Liberia,60,97,1,158,
Perez Zeledon,59,24,0,83,
Osa,59,20,0,79,
Paraiso,58,56,2,116,
Rio Cuarto,57,2,0,59,
Turrialba,55,20,1,76,
Atenas,50,79,2,131,
Talamanca,50,32,0,82,
Siquirres,47,49,0,96,
Sarapiqui,45,40,0,85,
Quepos,41,39,0,80,
Nicoya,35,107,1,143,
Garabito,30,44,2,76,
Los Chiles,27,201,1,229,
Esparza,27,61,0,88,
Valverde Vega,26,25,0,51,
Upala,24,124,3,151,
Santa Cruz,23,79,0,102,
La Cruz,22,93,1,116,
Montes de Oro,20,22,0,42,
Coto Brus,20,4,1,25,
Orotina,19,28,0,47,
Matina,18,13,1,32,
Alvarado,17,8,0,25,
Tilaran,17,16,1,34,
Cañas,16,107,0,123,
Guatuso,15,109,2,126,
Carrillo,15,32,0,47,
Zarcero,13,25,0,38,
Jimenez,12,11,0,23,
Buenos Aires,12,7,1,20,
Parrita,12,32,1,45,
Abangares,11,34,0,45,
Turrubares,9,15,0,24,
Bagaces,9,45,1,55,
Dota,5,0,0,5,
Leon Cortes,5,7,0,12,
Tarrazu,4,8,0,12,
Otro,4,0,0,4,
Hojancha,3,27,0,30,
San Mateo,2,6,0,8,
Nandayure,2,4,2,8,
Otro,366,21,0,387,
